timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1698846580123,1620,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698846580123,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698846581126,93314,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698846581127,2503,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698846581127,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698846582128,93317,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698846582129,2615,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698846582129,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698846583135,93321,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698846583135,1616,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698846583135,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698846584143,93275,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698846584145,2119,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698846584145,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698846585153,93276,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698846585156,3865,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698846585156,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698846586163,93283,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698846586165,3237,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698846586165,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698846587171,93286,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698846587172,3362,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698846587172,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698846588179,93223,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698846588179,2988,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698846588179,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698846589180,93224,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698846589181,2988,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698846589181,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698846590185,93228,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698846590185,1990,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698846590185,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698846591191,93232,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698846591192,3865,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698846591192,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698846592199,93236,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1698846592199,2244,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1698846592199,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1698846593203,93238,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
